Subject,Course Name,Course URL
"Humanities
          ",A Life of Happiness and Fulfillment,https://www.class-central.com/course/coursera-a-life-of-happiness-and-fulfillment-2860
"Mathematics
          ",Estadística Aplicada a los Negocios,https://www.class-central.com/course/edx-estadistica-aplicada-a-los-negocios-10270
"Mathematics
          ",Intro to Statistics,https://www.class-central.com/course/udacity-intro-to-statistics-361
"Humanities
          ",Modern & Contemporary American Poetry (“ModPo”),https://www.class-central.com/course/coursera-modern-contemporary-american-poetry-modpo-356
"Data Science
          ",R Programming,https://www.class-central.com/course/coursera-r-programming-1713
"Mathematics
          ",Statistical Learning,https://www.class-central.com/course/stanford-openedx-statistical-learning-1579
"Mathematics
          ",Tutorials for Complex Systems,https://www.class-central.com/course/complexity-explorer-tutorials-for-complex-systems-1194
"Mathematics
          ","Advanced Precalculus: Geometry, Trigonometry and Exponentials",https://www.class-central.com/course/futurelearn-advanced-precalculus-geometry-trigonometry-and-exponentials-9602
"Business
          ",Marketing in a Digital World,https://www.class-central.com/course/coursera-marketing-in-a-digital-world-2750
"Social Sciences
          ",Model Thinking,https://www.class-central.com/course/coursera-model-thinking-317
"Humanities
          ",Introduction to Dutch,https://www.class-central.com/course/futurelearn-introduction-to-dutch-3014
"Humanities
          ",How to Succeed at: Writing Applications,https://www.class-central.com/course/futurelearn-how-to-succeed-at-writing-applications-2248
"Data Science
          ",The Data Scientist’s Toolbox,https://www.class-central.com/course/coursera-the-data-scientist-s-toolbox-1712
"Data Science
          ",The Analytics Edge,https://www.class-central.com/course/edx-the-analytics-edge-1623
"Data Science
          ",Python for Data Science,https://www.class-central.com/course/edx-python-for-data-science-8209
"Mathematics
          ",Mathematical Biostatistics Boot Camp 1,https://www.class-central.com/course/coursera-mathematical-biostatistics-boot-camp-1-596
"Mathematics
          ",Introduction to Probability - The Science of Uncertainty,https://www.class-central.com/course/edx-introduction-to-probability-the-science-of-uncertainty-1496
"Business
          ",Introduction to Marketing,https://www.class-central.com/course/coursera-introduction-to-marketing-1137
"Business
          ",Introduction to Financial Accounting,https://www.class-central.com/course/coursera-introduction-to-financial-accounting-769
"Social Sciences
          ",EU policy and implementation: making Europe work! ,https://www.class-central.com/course/coursera-eu-policy-and-implementation-making-europe-work-7408
"Social Sciences
          ",Social Psychology,https://www.class-central.com/course/coursera-social-psychology-555
"Humanities
          ",Introduction to Philosophy,https://www.class-central.com/course/coursera-introduction-to-philosophy-418
"Humanities
          ",Basic Spanish 2: One Step Further,https://www.class-central.com/course/edx-basic-spanish-2-one-step-further-8672
"Science
          ",Mountains 101,https://www.class-central.com/course/coursera-mountains-101-7455
"Data Science
          ",Getting and Cleaning Data,https://www.class-central.com/course/coursera-getting-and-cleaning-data-1714
"Data Science
          ",Introduction to Big Data,https://www.class-central.com/course/coursera-introduction-to-big-data-4164
"Mathematics
          ",Introduction to Algebra,https://www.class-central.com/course/edx-introduction-to-algebra-2526
"Mathematics
          ",Bayesian Statistics,https://www.class-central.com/course/coursera-bayesian-statistics-6097
"Education & Teaching
          ",Early Childhood Education,https://www.class-central.com/course/open2study-early-childhood-education-1000
"Business
          ",Preparing to Manage Human Resources,https://www.class-central.com/course/coursera-preparing-to-manage-human-resources-5462
"Business
          ",Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,https://www.class-central.com/course/coursera-developing-innovative-ideas-for-new-companies-the-first-step-in-entrepreneurship-840
"Computer Science
          ",Machine Learning,https://www.class-central.com/course/coursera-machine-learning-835
"Social Sciences
          ",The Science of Happiness,https://www.class-central.com/course/edx-the-science-of-happiness-1781
"Social Sciences
          ",Justice,https://www.class-central.com/course/edx-justice-610
"Humanities
          ",Tsinghua Chinese: Start Talking with 1.3 Billion People,https://www.class-central.com/course/edx-tsinghua-chinese-start-talking-with-1-3-billion-people-5426
"Humanities
          ",Shakespeare Matters,https://www.class-central.com/course/edx-shakespeare-matters-8731
"Science
          ",Introduction to Complexity,https://www.class-central.com/course/complexity-explorer-introduction-to-complexity-557
"Science
          ",Extinctions: Past and Present,https://www.class-central.com/course/futurelearn-extinctions-past-and-present-8004
"Data Science
          ",Introduction to Computational Thinking and Data Science,https://www.class-central.com/course/edx-introduction-to-computational-thinking-and-data-science-1779
"Data Science
          ",Mastering Data Analysis in Excel,https://www.class-central.com/course/coursera-mastering-data-analysis-in-excel-4310
"Data Science
          ",Hadoop Platform and Application Framework,https://www.class-central.com/course/coursera-hadoop-platform-and-application-framework-4269
"Mathematics
          ",Linear Algebra - Foundations to Frontiers,https://www.class-central.com/course/edx-linear-algebra-foundations-to-frontiers-1337
"Mathematics
          ",College Algebra,https://www.class-central.com/course/udacity-college-algebra-630
"Mathematics
          ",How to Learn Math: For Students,https://www.class-central.com/course/stanford-openedx-how-to-learn-math-for-students-917
